iter	Logloss
0	0.6709316758
1	0.6519876829
2	0.6354827911
3	0.6209974554
4	0.6078476333
5	0.5962386979
6	0.5859494797
7	0.5766757851
8	0.5683188681
9	0.5614640025
10	0.5541107889
11	0.5478772777
12	0.5420675848
13	0.5371148288
14	0.5322960845
15	0.5279315246
16	0.5233920699
17	0.519490094
18	0.5161344077
19	0.5125301322
20	0.5089367833
21	0.5061119252
22	0.5035520283
23	0.5008940147
24	0.4984183845
25	0.4961150893
26	0.4937261246
27	0.4915892671
28	0.4895154387
29	0.4876763268
30	0.4859283451
31	0.4841537487
32	0.482386248
33	0.4808813811
34	0.4795829086
35	0.4782285393
36	0.4767646754
37	0.4752942471
38	0.4738110846
39	0.4724789897
40	0.4714747564
41	0.470456995
42	0.4693672263
43	0.4684021843
44	0.4673366077
45	0.4664241973
46	0.4654112822
47	0.4646341717
48	0.4638877065
49	0.4627857909
50	0.4619728962
51	0.4610573817
52	0.4602509423
53	0.4594847846
54	0.4588763937
55	0.4579456379
56	0.4573835849
57	0.4566710252
58	0.4560675304
59	0.4553761664
60	0.4547044681
61	0.4541563325
62	0.453511283
63	0.4528560583
64	0.4522174713
65	0.4516287462
66	0.4510711142
67	0.4505518678
68	0.4499839191
69	0.4494747498
70	0.4491749291
71	0.4488134908
72	0.4482942466
73	0.4480398984
74	0.4475534353
75	0.4471253972
76	0.446792027
77	0.4463221347
78	0.4458952641
79	0.4456282987
80	0.4453922062
81	0.4450837029
82	0.444714526
83	0.444491118
84	0.4439799157
85	0.4435169479
86	0.4432049627
87	0.4429667106
88	0.4426173571
89	0.4424489212
90	0.4420766283
91	0.4417121536
92	0.4413878846
93	0.4409715649
94	0.440712443
95	0.440474486
96	0.4402637944
97	0.4400532684
98	0.4398701047
99	0.4395625355
100	0.4393860097
101	0.4392519394
102	0.4389526125
103	0.438638692
104	0.4384128346
105	0.4381965513
106	0.4380235159
107	0.4378365822
108	0.4375326256
109	0.4374091786
110	0.4372326068
111	0.4368641788
112	0.4367042046
113	0.4364424685
114	0.4361022462
115	0.435952224
116	0.4357893926
117	0.4356520408
118	0.43531349
119	0.4351335395
120	0.4349564151
121	0.4348439097
122	0.4346560932
123	0.4344890682
124	0.4342685852
125	0.4338997977
126	0.4337777042
127	0.4336927643
128	0.4334817616
129	0.433213643
130	0.4330806431
131	0.4329083203
132	0.432754593
133	0.4325717909
134	0.4323674693
135	0.432206706
136	0.432123372
137	0.4320099801
138	0.4318808116
139	0.4317837765
140	0.4316468145
141	0.4315016119
142	0.4313615557
143	0.4312021882
144	0.4310587952
145	0.4308925773
146	0.4306622306
147	0.4304045447
148	0.4303238902
149	0.4302339535
150	0.4300490796
151	0.4299034253
152	0.4296603328
153	0.4295359306
154	0.4293448573
155	0.4291318006
156	0.4289750179
157	0.4288627947
158	0.4287996016
159	0.4287669516
160	0.4286510236
161	0.428395705
162	0.4283334461
163	0.428303251
164	0.4281288907
165	0.4280401985
166	0.4278928353
167	0.4277632133
168	0.42760769
169	0.4275292754
170	0.427351209
171	0.427252928
172	0.4272038295
173	0.4271358757
174	0.4268706345
175	0.4267814696
176	0.4267191235
177	0.4266549734
178	0.4266150432
179	0.426391239
180	0.4262998434
181	0.4261776424
182	0.4261196757
183	0.4260260821
184	0.4259346625
185	0.4258377108
186	0.4257050479
187	0.4256307669
188	0.4254282772
189	0.4254041204
190	0.4253030459
191	0.4251518522
192	0.4248711775
193	0.4247693815
194	0.4246036797
195	0.4245554032
196	0.424476358
197	0.4243571995
198	0.424321615
199	0.4243156609
200	0.4242147279
201	0.424214573
202	0.42407084
203	0.423941849
204	0.4239002481
205	0.4238403177
206	0.4236655845
207	0.4236260777
208	0.4235480721
209	0.4234457791
210	0.4233624898
211	0.4232041633
212	0.4230659948
213	0.4229425364
214	0.4227870378
215	0.4227050425
216	0.4225153527
217	0.4224060737
218	0.4223410214
219	0.4221909667
220	0.4220201624
221	0.4219631544
222	0.4218489007
223	0.4217533878
224	0.4216536247
225	0.4215289004
226	0.4213624215
227	0.4212811991
228	0.4211927911
229	0.4210787366
230	0.4210439504
231	0.420934814
232	0.4207846565
233	0.4207087331
234	0.4206153194
235	0.4205350124
236	0.4204838895
237	0.4204337379
238	0.4204081348
239	0.4203352993
240	0.4202616047
241	0.4201939874
242	0.4201469983
243	0.4200020726
244	0.4199438558
245	0.4197732321
246	0.4197192181
247	0.4195790169
248	0.4195047501
249	0.4193790422
250	0.4193673611
251	0.4192893426
252	0.4192684402
253	0.4191926575
254	0.419137266
255	0.4190217502
256	0.4189506133
257	0.4188775332
258	0.4188148233
259	0.418777657
260	0.4186518471
261	0.4185891383
262	0.418502085
263	0.4184458285
264	0.4184087668
265	0.4183448252
266	0.4182088616
267	0.4181620411
268	0.4181041408
269	0.4180570955
270	0.4179457092
271	0.4178958873
272	0.417856682
273	0.4178126098
274	0.4177041724
275	0.4177041537
276	0.4176605296
277	0.4175476871
278	0.4174270942
279	0.4173485216
280	0.4172425405
281	0.4171298966
282	0.4170883008
283	0.4170270285
284	0.4169183425
285	0.416834228
286	0.4167151412
287	0.4166559275
288	0.4166014046
289	0.4165692822
290	0.4164357524
291	0.4163195794
292	0.416208884
293	0.4161234952
294	0.416063444
295	0.415952645
296	0.4158746849
297	0.4158252828
298	0.4157623347
299	0.4157343028
