iter	Passed	Remaining
0	143	42857
1	184	27462
2	235	23295
3	288	21337
4	337	19925
5	377	18511
6	410	17163
7	442	16153
8	472	15286
9	512	14848
10	546	14369
11	589	14159
12	627	13863
13	657	13437
14	689	13103
15	724	12858
16	756	12600
17	782	12260
18	815	12057
19	847	11865
20	882	11719
21	915	11562
22	961	11585
23	1006	11578
24	1047	11523
25	1090	11495
26	1130	11433
27	1196	11623
28	1262	11801
29	1309	11783
30	1335	11586
31	1371	11487
32	1405	11372
33	1431	11200
34	1457	11037
35	1483	10882
36	1512	10754
37	1536	10591
38	1558	10429
39	1586	10315
40	1614	10196
41	1637	10058
42	1667	9963
43	1688	9826
44	1718	9739
45	1739	9603
46	1761	9483
47	1785	9374
48	1809	9269
49	1831	9157
50	1857	9070
51	1885	8992
52	1915	8925
53	1941	8843
54	1970	8775
55	1998	8708
56	2027	8645
57	2059	8591
58	2090	8539
59	2119	8478
60	2145	8404
61	2169	8326
62	2197	8264
63	2226	8208
64	2255	8155
65	2285	8102
66	2318	8064
67	2350	8020
68	2379	7964
69	2404	7899
70	2428	7833
71	2450	7761
72	2477	7702
73	2506	7655
74	2531	7594
75	2557	7537
76	2580	7472
77	2602	7406
78	2627	7351
79	2649	7285
80	2669	7216
81	2691	7155
82	2717	7105
83	2745	7059
84	2769	7004
85	2792	6948
86	2816	6896
87	2841	6846
88	2867	6797
89	2890	6745
90	2919	6706
91	2946	6661
92	2968	6607
93	2992	6558
94	3015	6506
95	3038	6456
96	3062	6409
97	3087	6363
98	3108	6310
99	3131	6262
100	3156	6218
101	3180	6174
102	3205	6131
103	3226	6081
104	3248	6033
105	3268	5982
106	3290	5934
107	3308	5880
108	3328	5833
109	3349	5784
110	3368	5735
111	3389	5689
112	3408	5640
113	3428	5594
114	3452	5553
115	3470	5504
116	3489	5457
117	3509	5412
118	3531	5371
119	3552	5328
120	3574	5287
121	3591	5240
122	3611	5197
123	3630	5152
124	3651	5112
125	3676	5076
126	3695	5034
127	3716	4994
128	3738	4955
129	3761	4918
130	3779	4875
131	3799	4835
132	3818	4795
133	3840	4757
134	3863	4722
135	3882	4681
136	3900	4640
137	3920	4602
138	3940	4564
139	3960	4526
140	3981	4490
141	4002	4453
142	4020	4413
143	4039	4376
144	4060	4340
145	4081	4305
146	4102	4270
147	4125	4236
148	4148	4204
149	4173	4173
150	4198	4142
151	4221	4110
152	4246	4079
153	4274	4052
154	4300	4022
155	4327	3994
156	4354	3965
157	4375	3932
158	4392	3895
159	4409	3857
160	4426	3821
161	4445	3786
162	4461	3750
163	4478	3714
164	4497	3680
165	4515	3644
166	4534	3611
167	4555	3579
168	4576	3547
169	4595	3514
170	4614	3480
171	4631	3446
172	4648	3412
173	4664	3377
174	4684	3346
175	4701	3312
176	4718	3279
177	4735	3245
178	4751	3212
179	4770	3180
180	4788	3148
181	4807	3117
182	4826	3085
183	4843	3053
184	4862	3022
185	4880	2991
186	4899	2960
187	4916	2929
188	4934	2897
189	4952	2867
190	4971	2837
191	4989	2806
192	5010	2777
193	5029	2747
194	5048	2718
195	5066	2688
196	5083	2658
197	5103	2629
198	5121	2599
199	5132	2566
200	5150	2536
201	5160	2503
202	5178	2474
203	5197	2445
204	5214	2416
205	5231	2387
206	5250	2358
207	5267	2329
208	5283	2300
209	5301	2272
210	5317	2243
211	5335	2214
212	5355	2187
213	5374	2159
214	5393	2132
215	5412	2104
216	5431	2077
217	5448	2049
218	5465	2021
219	5482	1993
220	5501	1966
221	5518	1938
222	5537	1911
223	5556	1885
224	5577	1859
225	5597	1832
226	5619	1807
227	5639	1780
228	5660	1754
229	5677	1727
230	5694	1700
231	5713	1674
232	5731	1648
233	5750	1622
234	5771	1596
235	5789	1570
236	5807	1543
237	5824	1517
238	5842	1491
239	5859	1464
240	5875	1438
241	5892	1412
242	5909	1386
243	5928	1360
244	5947	1335
245	5967	1310
246	5986	1284
247	6006	1259
248	6025	1234
249	6043	1208
250	6060	1183
251	6077	1157
252	6094	1132
253	6111	1106
254	6130	1081
255	6148	1056
256	6170	1032
257	6188	1007
258	6206	982
259	6225	957
260	6245	933
261	6264	908
262	6282	883
263	6301	859
264	6318	834
265	6337	810
266	6356	785
267	6375	761
268	6393	736
269	6411	712
270	6429	688
271	6448	663
272	6466	639
273	6485	615
274	6505	591
275	6513	566
276	6530	542
277	6549	518
278	6570	494
279	6588	470
280	6605	446
281	6624	422
282	6642	399
283	6658	375
284	6674	351
285	6691	327
286	6709	303
287	6725	280
288	6743	256
289	6760	233
290	6777	209
291	6795	186
292	6812	162
293	6830	139
294	6848	116
295	6866	92
296	6883	69
297	6899	46
298	6916	23
299	6932	0
